200405,060009,00000000,-system,sys,town tax report: 0 0 0 0 0 -Exp : 1361230 
200405,060042,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060043,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060043,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060044,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060044,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060045,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060046,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060046,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060047,b5bb008f,ZEEH147,get  019d000000000000 
200405,060047,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060047,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060048,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060048,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060049,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060050,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060051,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060051,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060052,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060053,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060053,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060054,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060054,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060056,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060056,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060057,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060057,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060058,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060058,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060059,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060100,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060100,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060101,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060101,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060102,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060103,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060103,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060104,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060104,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060105,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060105,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060106,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060107,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060107,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060108,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060109,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060110,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060110,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060111,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060111,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060112,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060113,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060114,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060114,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060115,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060115,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060116,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060116,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060117,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060118,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060118,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060119,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060119,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060120,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060120,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060122,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060122,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060123,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060123,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060124,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060124,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060125,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060126,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060127,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060128,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060128,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060129,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060129,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060130,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060130,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060131,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060132,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060132,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060133,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060133,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060134,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060135,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060136,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060136,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060137,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060137,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060138,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060138,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060139,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060140,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060140,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060141,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060141,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060142,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060142,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060144,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060144,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060145,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060145,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060146,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060147,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060147,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060148,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060149,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060149,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060150,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060151,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060151,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060152,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060153,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060153,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060154,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060155,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060155,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060156,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060156,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060157,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060158,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060158,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060159,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060200,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060200,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060201,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060202,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060202,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060203,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060203,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060205,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060205,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060206,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060206,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060207,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060208,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060208,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060209,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060209,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060210,02dfb32d,LUCAS99,get  06732b0048140218 
200405,060210,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060210,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060211,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060212,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060212,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060213,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060213,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060214,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060215,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060215,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060216,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060217,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060217,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060219,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060219,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060220,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060220,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060221,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060221,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060222,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060223,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060223,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060224,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060224,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060225,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060226,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060226,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060227,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060227,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060228,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060229,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060230,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060230,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060231,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060231,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060232,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060232,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060233,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060234,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060234,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060235,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060235,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060237,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060237,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060238,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060238,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060239,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060240,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060240,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060241,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060242,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060242,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060243,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060244,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060244,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060245,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060245,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060246,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060246,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060247,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060248,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060248,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060249,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060249,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060251,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060251,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060252,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060252,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060253,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060253,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060254,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060255,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060255,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060256,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060256,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060258,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060258,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060259,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060259,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060300,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060300,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060301,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060302,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060302,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060303,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060304,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060305,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060305,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060306,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060306,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060307,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060307,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060308,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060309,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060309,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060310,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060310,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060311,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060311,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060312,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060313,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060314,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060314,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060315,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060315,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060316,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060317,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060317,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060318,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060319,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060320,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060320,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060321,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060321,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060322,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060323,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060323,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060324,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060324,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060325,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060325,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060326,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060327,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060327,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060328,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060328,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060329,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060329,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060331,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060331,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060332,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060332,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060333,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060333,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060335,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
